#Conduction meas. of HCl in H2O
#20171017
#Concentration	sigma	d(sigma)
0.1	0.1	3.834272527902482
0.1	0.1	3.875917162393496
0.2	0.2	7.4730820324614795
0.2	0.2	7.523710431969066
0.3	0.3	11.025789059130751
0.3	0.3	11.089819197461988
0.4	0.4	14.440695472368931
0.4	0.4	14.492211247342642
0.5	0.5	17.758616433864297
0.5	0.5	17.81382870447889
0.6	0.6	21.036448138520495
0.6	0.6	21.095774420404933
0.7	0.7	24.14410469837415
0.7	0.7	24.177320264655528
0.8	0.8	27.16614438459154
0.8	0.8	27.22788979737771
0.9	0.9	30.113152192758072
0.9	0.9	30.11366341377565
1.0	1.0	32.92596622477342
1.0	1.0	32.9519372624924
