% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S11,im:Trc2_S11,
1.000000000000000E+008,9.997353966242474E-001,7.467376786613819E-004,9.997353966242474E-001,7.467376786613819E-004,
1.020931412693436E+008,9.997062939331174E-001,8.498498894225321E-004,9.997062939331174E-001,8.498498894225321E-004,
1.042300949424215E+008,9.996710583119279E-001,7.334023607768685E-004,9.996710583119279E-001,7.334023607768685E-004,
1.064117780747374E+008,9.997539196638723E-001,1.060540477014800E-003,9.997539196638723E-001,1.060540477014800E-003,
1.086391269170620E+008,9.998077593297966E-001,9.590861224205413E-004,9.998077593297966E-001,9.590861224205413E-004,
1.109130973172177E+008,9.997813817689916E-001,9.039002547151677E-004,9.997813817689916E-001,9.039002547151677E-004,
1.132346651302716E+008,9.997620384228879E-001,8.325404201520965E-004,9.997620384228879E-001,8.325404201520965E-004,
1.156048266373163E+008,9.996018025408682E-001,8.127620012575254E-004,9.996018025408682E-001,8.127620012575254E-004,
1.180245989730151E+008,9.997035917970295E-001,9.412856044610522E-004,9.997035917970295E-001,9.412856044610522E-004,
1.204950205620966E+008,9.996458894944841E-001,9.277009636944887E-004,9.996458894944841E-001,9.277009636944887E-004,
1.230171515649859E+008,9.996652653404128E-001,1.003216665807902E-003,9.996652653404128E-001,1.003216665807902E-003,
1.255920743327636E+008,9.997277295143654E-001,9.722159266687611E-004,9.997277295143654E-001,9.722159266687611E-004,
1.282208938716474E+008,9.997106931636126E-001,9.468800694142234E-004,9.997106931636126E-001,9.468800694142234E-004,
1.309047383171961E+008,9.999526215583034E-001,1.126969465576021E-003,9.999526215583034E-001,1.126969465576021E-003,
1.336447594184396E+008,9.999108000708837E-001,1.061375169587471E-003,9.999108000708837E-001,1.061375169587471E-003,
1.364421330321420E+008,9.999558294302846E-001,9.492034446930432E-004,9.999558294302846E-001,9.492034446930432E-004,
1.392980596274105E+008,9.999650099639217E-001,1.131245908989999E-003,9.999650099639217E-001,1.131245908989999E-003,
1.422137648008667E+008,9.998536498845312E-001,1.174929297728863E-003,9.998536498845312E-001,1.174929297728863E-003,
1.451904998026009E+008,9.997965645910490E-001,1.143354746452342E-003,9.997965645910490E-001,1.143354746452342E-003,
1.482295420731354E+008,9.999068139540981E-001,1.329967325154311E-003,9.999068139540981E-001,1.329967325154311E-003,
1.513321957916272E+008,9.999602093286921E-001,1.480966217747399E-003,9.999602093286921E-001,1.480966217747399E-003,
1.544997924355456E+008,9.999204745212801E-001,1.287953152302396E-003,9.999204745212801E-001,1.287953152302396E-003,
1.577336913520643E+008,9.998794993239579E-001,1.221728454829596E-003,9.998794993239579E-001,1.221728454829596E-003,
1.610352803414134E+008,9.998172468992006E-001,1.384714357449851E-003,9.998172468992006E-001,1.384714357449851E-003,
1.644059762524427E+008,9.998047424338539E-001,1.410338293711959E-003,9.998047424338539E-001,1.410338293711959E-003,
1.678472255906498E+008,9.998666229440774E-001,1.450790255373841E-003,9.998666229440774E-001,1.450790255373841E-003,
1.713605051389360E+008,9.998710582147337E-001,1.479834272985937E-003,9.998710582147337E-001,1.479834272985937E-003,
1.749473225913547E+008,9.997849857024219E-001,1.419377391586693E-003,9.997849857024219E-001,1.419377391586693E-003,
1.786092172001261E+008,9.998097242535942E-001,1.507754669707226E-003,9.998097242535942E-001,1.507754669707226E-003,
1.823477604361935E+008,9.999546260709297E-001,1.582908983723260E-003,9.999546260709297E-001,1.582908983723260E-003,
1.861645566636073E+008,9.998683603095777E-001,1.710817279728881E-003,9.998683603095777E-001,1.710817279728881E-003,
1.900612438280239E+008,9.998036153778297E-001,1.737971398333047E-003,9.998036153778297E-001,1.737971398333047E-003,
1.940394941596160E+008,9.997771535513055E-001,1.907228196659522E-003,9.997771535513055E-001,1.907228196659522E-003,
1.981010148906965E+008,9.998461297493846E-001,1.926903637457707E-003,9.998461297493846E-001,1.926903637457707E-003,
2.022475489883622E+008,9.997265740426615E-001,1.922459199635406E-003,9.997265740426615E-001,1.922459199635406E-003,
2.064808759024735E+008,9.998488510104533E-001,1.976209827281835E-003,9.998488510104533E-001,1.976209827281835E-003,
2.108028123292904E+008,9.998663823776575E-001,1.861908826889972E-003,9.998663823776575E-001,1.861908826889972E-003,
2.152152129910917E+008,9.997258341295487E-001,2.095917039326069E-003,9.997258341295487E-001,2.095917039326069E-003,
2.197199714321140E+008,9.997502353067413E-001,2.080798951056975E-003,9.997502353067413E-001,2.080798951056975E-003,
2.243190208311496E+008,9.997914145363411E-001,2.230476473692916E-003,9.997914145363411E-001,2.230476473692916E-003,
2.290143348311539E+008,9.997953066811460E-001,2.228621813030430E-003,9.997953066811460E-001,2.228621813030430E-003,
2.338079283862175E+008,9.998273505215370E-001,2.344663033670033E-003,9.998273505215370E-001,2.344663033670033E-003,
2.387018586262668E+008,9.998180434577848E-001,2.152362571378325E-003,9.998180434577848E-001,2.152362571378325E-003,
2.436982257398635E+008,9.998688256214866E-001,2.313997171351000E-003,9.998688256214866E-001,2.313997171351000E-003,
2.487991738754827E+008,9.997954771958555E-001,2.304527577472312E-003,9.997954771958555E-001,2.304527577472312E-003,
2.540068920616564E+008,9.997498952042218E-001,2.330336540998921E-003,9.997498952042218E-001,2.330336540998921E-003,
2.593236151463760E+008,9.997724510169290E-001,2.145024613586296E-003,9.997724510169290E-001,2.145024613586296E-003,
2.647516247561587E+008,9.997393278937692E-001,2.421362270438846E-003,9.997393278937692E-001,2.421362270438846E-003,
2.702932502751876E+008,9.997396863939442E-001,2.205455899830885E-003,9.997396863939442E-001,2.205455899830885E-003,
2.759508698449477E+008,9.997447303027400E-001,2.423373184704493E-003,9.997447303027400E-001,2.423373184704493E-003,
2.817269113847850E+008,9.997758870269570E-001,2.320228286979283E-003,9.997758870269570E-001,2.320228286979283E-003,
2.876238536338270E+008,9.998186207211424E-001,2.269232050012321E-003,9.998186207211424E-001,2.269232050012321E-003,
2.936442272147132E+008,9.997960409658643E-001,2.528219568041615E-003,9.997960409658643E-001,2.528219568041615E-003,
2.997906157195895E+008,9.998377596820336E-001,2.490310241763330E-003,9.998377596820336E-001,2.490310241763330E-003,
3.060656568188355E+008,9.998027287180760E-001,2.640716362697370E-003,9.998027287180760E-001,2.640716362697370E-003,
3.124720433929982E+008,9.998496823456989E-001,2.578928078841045E-003,9.998496823456989E-001,2.578928078841045E-003,
3.190125246884183E+008,9.997989203688518E-001,2.644812332694836E-003,9.997989203688518E-001,2.644812332694836E-003,
3.256899074970465E+008,9.998864288634062E-001,2.651095502909254E-003,9.998864288634062E-001,2.651095502909254E-003,
3.325070573609542E+008,9.998563488002523E-001,2.912628737837671E-003,9.998563488002523E-001,2.912628737837671E-003,
3.394668998020564E+008,9.998505955254011E-001,2.853810862311536E-003,9.998505955254011E-001,2.853810862311536E-003,
3.465724215775746E+008,9.998263408795002E-001,2.971534168503748E-003,9.998263408795002E-001,2.971534168503748E-003,
3.538266719617783E+008,9.997749886526071E-001,3.029856371435060E-003,9.997749886526071E-001,3.029856371435060E-003,
3.612327640545553E+008,9.997992521077210E-001,3.147578803082679E-003,9.997992521077210E-001,3.147578803082679E-003,
3.687938761173719E+008,9.997341324316766E-001,3.220377392157574E-003,9.997341324316766E-001,3.220377392157574E-003,
3.765132529371966E+008,9.997146392449788E-001,3.351926016558839E-003,9.997146392449788E-001,3.351926016558839E-003,
3.843942072189731E+008,9.997383793619721E-001,3.478883627507240E-003,9.997383793619721E-001,3.478883627507240E-003,
3.924401210072396E+008,9.996904628066450E-001,3.428707081181683E-003,9.996904628066450E-001,3.428707081181683E-003,
4.006544471375042E+008,9.996407276597705E-001,3.638662275225315E-003,9.996407276597705E-001,3.638662275225315E-003,
4.090407107179998E+008,9.995953982659236E-001,3.681388498297255E-003,9.995953982659236E-001,3.681388498297255E-003,
4.176025106424546E+008,9.995716219676880E-001,3.615907726137968E-003,9.995716219676880E-001,3.615907726137968E-003,
4.263435211345269E+008,9.995743420475558E-001,3.602271317649389E-003,9.995743420475558E-001,3.602271317649389E-003,
4.352674933245664E+008,9.995796893175961E-001,3.756213995536931E-003,9.995796893175961E-001,3.756213995536931E-003,
4.443782568593804E+008,9.995336218888575E-001,3.777524736859033E-003,9.995336218888575E-001,3.777524736859033E-003,
4.536797215456938E+008,9.994489498157443E-001,3.843156645951400E-003,9.994489498157443E-001,3.843156645951400E-003,
4.631758790280099E+008,9.994778623145185E-001,3.943310394485879E-003,9.994778623145185E-001,3.943310394485879E-003,
4.728708045015902E+008,9.994712702118876E-001,3.962063257307772E-003,9.994712702118876E-001,3.962063257307772E-003,
4.827686584612901E+008,9.994054589893263E-001,3.977310415850117E-003,9.994054589893263E-001,3.977310415850117E-003,
4.928736884869999E+008,9.994409755799819E-001,4.075656850320973E-003,9.994409755799819E-001,4.075656850320973E-003,
5.031902310664573E+008,9.995724234406082E-001,4.215344070130106E-003,9.995724234406082E-001,4.215344070130106E-003,
5.137227134562149E+008,9.996718792437307E-001,4.326209231801039E-003,9.996718792437307E-001,4.326209231801039E-003,
5.244756555815587E+008,9.996850502051717E-001,4.412327994002955E-003,9.996850502051717E-001,4.412327994002955E-003,
5.354536719761968E+008,9.996769137349113E-001,4.562853155081570E-003,9.996769137349113E-001,4.562853155081570E-003,
5.466614737625463E+008,9.996028068659609E-001,4.668269928336516E-003,9.996028068659609E-001,4.668269928336516E-003,
5.581038706734722E+008,9.995393567738558E-001,4.768656683649209E-003,9.995393567738558E-001,4.768656683649209E-003,
5.697857731163427E+008,9.994562286996633E-001,4.885788278123071E-003,9.994562286996633E-001,4.885788278123071E-003,
5.817121942802894E+008,9.994891938322407E-001,4.996907863532530E-003,9.994891938322407E-001,4.996907863532530E-003,
5.938882522875744E+008,9.995067131945951E-001,5.017736474131049E-003,9.995067131945951E-001,5.017736474131049E-003,
6.063191723899891E+008,9.995049767761877E-001,5.316792588776551E-003,9.995049767761877E-001,5.316792588776551E-003,
6.190102892112266E+008,9.993625040249911E-001,5.465343287527714E-003,9.993625040249911E-001,5.465343287527714E-003,
6.319670490361900E+008,9.992506588876610E-001,5.552308407653387E-003,9.992506588876610E-001,5.552308407653387E-003,
6.451950121482195E+008,9.991773105573442E-001,5.509137416679471E-003,9.991773105573442E-001,5.509137416679471E-003,
6.586998552152404E+008,9.992332727584536E-001,5.330323997719821E-003,9.992332727584536E-001,5.330323997719821E-003,
6.724873737258571E+008,9.993618660346400E-001,5.577367242846028E-003,9.993618660346400E-001,5.577367242846028E-003,
6.865634844764381E+008,9.993703725026732E-001,5.855268020090043E-003,9.993703725026732E-001,5.855268020090043E-003,
7.009342281102579E+008,9.993764595025867E-001,6.049967086987660E-003,9.993764595025867E-001,6.049967086987660E-003,
7.156057717097888E+008,9.993646266461247E-001,6.192080551061157E-003,9.993646266461247E-001,6.192080551061157E-003,
7.305844114432513E+008,9.992855878122867E-001,6.153216076561327E-003,9.992855878122867E-001,6.153216076561327E-003,
7.458765752665610E+008,9.994586067662180E-001,6.257164484362886E-003,9.994586067662180E-001,6.257164484362886E-003,
7.614888256818322E+008,9.994035455303211E-001,6.476935281895952E-003,9.994035455303211E-001,6.476935281895952E-003,
7.774278625536187E+008,9.992323136785202E-001,6.953872867771096E-003,9.992323136785202E-001,6.953872867771096E-003,
7.937005259841044E+008,9.990084053788587E-001,6.978548985738299E-003,9.990084053788587E-001,6.978548985738299E-003,
8.103137992484750E+008,9.988685913244334E-001,6.872974917518661E-003,9.988685913244334E-001,6.872974917518661E-003,
8.272748117917309E+008,9.989681047857493E-001,6.862239345366513E-003,9.989681047857493E-001,6.862239345366513E-003,
8.445908422882283E+008,9.990658420036809E-001,6.939040171443692E-003,9.990658420036809E-001,6.939040171443692E-003,
8.622693217652600E+008,9.989836058903634E-001,7.301548638856200E-003,9.989836058903634E-001,7.301548638856200E-003,
8.803178367920179E+008,9.989184751660521E-001,7.493809626926606E-003,9.989184751660521E-001,7.493809626926606E-003,
8.987441327353046E+008,9.991826165341106E-001,7.739035906322930E-003,9.991826165341106E-001,7.739035906322930E-003,
9.175561170833916E+008,9.992954787775812E-001,8.098839212795844E-003,9.992954787775812E-001,8.098839212795844E-003,
9.367618628394508E+008,9.989504928381690E-001,8.511696319812283E-003,9.989504928381690E-001,8.511696319812283E-003,
9.563696119860154E+008,9.985892692307747E-001,8.473061502120172E-003,9.985892692307747E-001,8.473061502120172E-003,
9.763877790219561E+008,9.985828243388480E-001,8.396196139591295E-003,9.985828243388480E-001,8.396196139591295E-003,
9.968249545734922E+008,9.986499741541141E-001,8.426628367378085E-003,9.986499741541141E-001,8.426628367378085E-003,
