% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S11,im:Trc2_S11,
1.000000000000000E+008,9.993701398828488E-001,-5.840838954320339E-003,9.993701398828488E-001,-5.840838954320339E-003,
1.020931412693436E+008,9.993243861749572E-001,-5.962640137182240E-003,9.993243861749572E-001,-5.962640137182240E-003,
1.042300949424215E+008,9.994006462939792E-001,-6.102493455191623E-003,9.994006462939792E-001,-6.102493455191623E-003,
1.064117780747374E+008,9.993073586636212E-001,-6.017283621919421E-003,9.993073586636212E-001,-6.017283621919421E-003,
1.086391269170620E+008,9.992265693167389E-001,-6.112467707554555E-003,9.992265693167389E-001,-6.112467707554555E-003,
1.109130973172177E+008,9.992269919433873E-001,-6.401399761322711E-003,9.992269919433873E-001,-6.401399761322711E-003,
1.132346651302716E+008,9.992882106620327E-001,-6.523989691424859E-003,9.992882106620327E-001,-6.523989691424859E-003,
1.156048266373163E+008,9.993295314229568E-001,-6.467782805983036E-003,9.993295314229568E-001,-6.467782805983036E-003,
1.180245989730151E+008,9.994138481634538E-001,-6.505797153826275E-003,9.994138481634538E-001,-6.505797153826275E-003,
1.204950205620966E+008,9.992044655840137E-001,-6.751804086654277E-003,9.992044655840137E-001,-6.751804086654277E-003,
1.230171515649859E+008,9.992944091311611E-001,-6.874997357587875E-003,9.992944091311611E-001,-6.874997357587875E-003,
1.255920743327636E+008,9.990988853301289E-001,-6.755223374473634E-003,9.990988853301289E-001,-6.755223374473634E-003,
1.282208938716474E+008,9.990540241938597E-001,-7.155162412785094E-003,9.990540241938597E-001,-7.155162412785094E-003,
1.309047383171961E+008,9.991200929529359E-001,-7.125851975032549E-003,9.991200929529359E-001,-7.125851975032549E-003,
1.336447594184396E+008,9.989667957150138E-001,-7.245868880703206E-003,9.989667957150138E-001,-7.245868880703206E-003,
1.364421330321420E+008,9.989836045018696E-001,-7.489524132181259E-003,9.989836045018696E-001,-7.489524132181259E-003,
1.392980596274105E+008,9.989495055834113E-001,-7.482989858054710E-003,9.989495055834113E-001,-7.482989858054710E-003,
1.422137648008667E+008,9.989752995085164E-001,-7.790417346405635E-003,9.989752995085164E-001,-7.790417346405635E-003,
1.451904998026009E+008,9.989157398236490E-001,-7.694150416840411E-003,9.989157398236490E-001,-7.694150416840411E-003,
1.482295420731354E+008,9.986987123546046E-001,-7.879751948643973E-003,9.986987123546046E-001,-7.879751948643973E-003,
1.513321957916272E+008,9.987350230769849E-001,-8.060781036769316E-003,9.987350230769849E-001,-8.060781036769316E-003,
1.544997924355456E+008,9.987648723435698E-001,-8.354146621640291E-003,9.987648723435698E-001,-8.354146621640291E-003,
1.577336913520643E+008,9.987291797406769E-001,-8.435030730620574E-003,9.987291797406769E-001,-8.435030730620574E-003,
