% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S11,im:Trc2_S11,
1.000000000000000E+008,9.992672634935598E-001,-2.236063741221464E-002,9.992672634935598E-001,-2.236063741221464E-002,
1.020931412693436E+008,9.992022511549713E-001,-2.275904242256375E-002,9.992022511549713E-001,-2.275904242256375E-002,
1.042300949424215E+008,9.991035271857883E-001,-2.320145578661541E-002,9.991035271857883E-001,-2.320145578661541E-002,
1.064117780747374E+008,9.992581621287224E-001,-2.379908685724697E-002,9.992581621287224E-001,-2.379908685724697E-002,
1.086391269170620E+008,9.992196389070822E-001,-2.404397944026512E-002,9.992196389070822E-001,-2.404397944026512E-002,
1.109130973172177E+008,9.991707705092112E-001,-2.478849221782103E-002,9.991707705092112E-001,-2.478849221782103E-002,
1.132346651302716E+008,9.993157804996349E-001,-2.527928919602365E-002,9.993157804996349E-001,-2.527928919602365E-002,
1.156048266373163E+008,9.990883970692464E-001,-2.589880820238504E-002,9.990883970692464E-001,-2.589880820238504E-002,
1.180245989730151E+008,9.992126389535752E-001,-2.642569030397439E-002,9.992126389535752E-001,-2.642569030397439E-002,
1.204950205620966E+008,9.989726294328382E-001,-2.681926932497849E-002,9.989726294328382E-001,-2.681926932497849E-002,
1.230171515649859E+008,9.991095521793519E-001,-2.735112227640116E-002,9.991095521793519E-001,-2.735112227640116E-002,
1.255920743327636E+008,9.990732528018306E-001,-2.817023147043435E-002,9.990732528018306E-001,-2.817023147043435E-002,
1.282208938716474E+008,9.990982397719128E-001,-2.855453020109248E-002,9.990982397719128E-001,-2.855453020109248E-002,
1.309047383171961E+008,9.991108503074418E-001,-2.911172132984315E-002,9.991108503074418E-001,-2.911172132984315E-002,
1.336447594184396E+008,9.990330259673901E-001,-2.967425128375520E-002,9.990330259673901E-001,-2.967425128375520E-002,
1.364421330321420E+008,9.991810557362539E-001,-3.047541349186790E-002,9.991810557362539E-001,-3.047541349186790E-002,
1.392980596274105E+008,9.989929538104616E-001,-3.106712757529396E-002,9.989929538104616E-001,-3.106712757529396E-002,
1.422137648008667E+008,9.990026001820299E-001,-3.177013757744961E-002,9.990026001820299E-001,-3.177013757744961E-002,
1.451904998026009E+008,9.988700023994748E-001,-3.236448991360078E-002,9.988700023994748E-001,-3.236448991360078E-002,
1.482295420731354E+008,9.989978988211035E-001,-3.293453519942956E-002,9.989978988211035E-001,-3.293453519942956E-002,
1.513321957916272E+008,9.989821572490695E-001,-3.355717053007314E-002,9.989821572490695E-001,-3.355717053007314E-002,
1.544997924355456E+008,9.989190908123191E-001,-3.445310047454096E-002,9.989190908123191E-001,-3.445310047454096E-002,
1.577336913520643E+008,9.988166080353010E-001,-3.517940554422562E-002,9.988166080353010E-001,-3.517940554422562E-002,
1.610352803414134E+008,9.988614592443729E-001,-3.581418406430827E-002,9.988614592443729E-001,-3.581418406430827E-002,
1.644059762524427E+008,9.986017324981096E-001,-3.640152067240420E-002,9.986017324981096E-001,-3.640152067240420E-002,
1.678472255906498E+008,9.987522804797014E-001,-3.731495461011906E-002,9.987522804797014E-001,-3.731495461011906E-002,
1.713605051389360E+008,9.985775604694629E-001,-3.805478671529473E-002,9.985775604694629E-001,-3.805478671529473E-002,
1.749473225913547E+008,9.985297399940568E-001,-3.889996147440783E-002,9.985297399940568E-001,-3.889996147440783E-002,
1.786092172001261E+008,9.984880644361990E-001,-3.961827160693241E-002,9.984880644361990E-001,-3.961827160693241E-002,
1.823477604361935E+008,9.985524109006745E-001,-4.050867917809868E-002,9.985524109006745E-001,-4.050867917809868E-002,
1.861645566636073E+008,9.984289277627416E-001,-4.118769502304905E-002,9.984289277627416E-001,-4.118769502304905E-002,
1.900612438280239E+008,9.983887732800000E-001,-4.215028709439562E-002,9.983887732800000E-001,-4.215028709439562E-002,
1.940394941596160E+008,9.982892824896249E-001,-4.293553306697033E-002,9.982892824896249E-001,-4.293553306697033E-002,
1.981010148906965E+008,9.982360877120456E-001,-4.374226321118797E-002,9.982360877120456E-001,-4.374226321118797E-002,
2.022475489883622E+008,9.981049594597806E-001,-4.472003683477563E-002,9.981049594597806E-001,-4.472003683477563E-002,
2.064808759024735E+008,9.981377467872327E-001,-4.558811086595491E-002,9.981377467872327E-001,-4.558811086595491E-002,
2.108028123292904E+008,9.981265162378281E-001,-4.677671746301150E-002,9.981265162378281E-001,-4.677671746301150E-002,
2.152152129910917E+008,9.979379587126235E-001,-4.756611761495871E-002,9.979379587126235E-001,-4.756611761495871E-002,
2.197199714321140E+008,9.978193439119643E-001,-4.858066288983765E-002,9.978193439119643E-001,-4.858066288983765E-002,
2.243190208311496E+008,9.978180485780483E-001,-4.957696996689097E-002,9.978180485780483E-001,-4.957696996689097E-002,
