% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S11,im:Trc2_S11,
1.000000000000000E+008,9.995899358685542E-001,-8.280150764231355E-003,9.995899358685542E-001,-8.280150764231355E-003,
1.020931412693436E+008,9.996397820923053E-001,-8.486885516784707E-003,9.996397820923053E-001,-8.486885516784707E-003,
1.042300949424215E+008,9.997357093592966E-001,-8.903899898485548E-003,9.997357093592966E-001,-8.903899898485548E-003,
1.064117780747374E+008,9.996713220369667E-001,-8.799470540888785E-003,9.996713220369667E-001,-8.799470540888785E-003,
1.086391269170620E+008,9.997420614503696E-001,-8.936709759098537E-003,9.997420614503696E-001,-8.936709759098537E-003,
1.109130973172177E+008,9.997120511160440E-001,-9.245408048595789E-003,9.997120511160440E-001,-9.245408048595789E-003,
1.132346651302716E+008,9.996741367812005E-001,-9.353964642253649E-003,9.996741367812005E-001,-9.353964642253649E-003,
1.156048266373163E+008,9.997368981292421E-001,-9.327509472328206E-003,9.997368981292421E-001,-9.327509472328206E-003,
1.180245989730151E+008,9.996522004809830E-001,-9.545257768341902E-003,9.996522004809830E-001,-9.545257768341902E-003,
1.204950205620966E+008,9.996135184563726E-001,-9.871019569845665E-003,9.996135184563726E-001,-9.871019569845665E-003,
1.230171515649859E+008,9.996867422777057E-001,-1.004731040546080E-002,9.996867422777057E-001,-1.004731040546080E-002,
1.255920743327636E+008,9.996311870118947E-001,-1.008805668953171E-002,9.996311870118947E-001,-1.008805668953171E-002,
1.282208938716474E+008,9.996146150397581E-001,-1.045593214464109E-002,9.996146150397581E-001,-1.045593214464109E-002,
1.309047383171961E+008,9.996598639717182E-001,-1.053274341215203E-002,9.996598639717182E-001,-1.053274341215203E-002,
1.336447594184396E+008,9.995210471594537E-001,-1.074471893243121E-002,9.995210471594537E-001,-1.074471893243121E-002,
1.364421330321420E+008,9.996378543275817E-001,-1.092303522870456E-002,9.996378543275817E-001,-1.092303522870456E-002,
1.392980596274105E+008,9.996093230952038E-001,-1.113574665917314E-002,9.996093230952038E-001,-1.113574665917314E-002,
1.422137648008667E+008,9.995859666620239E-001,-1.146200666246020E-002,9.995859666620239E-001,-1.146200666246020E-002,
1.451904998026009E+008,9.995830873141780E-001,-1.147070555886202E-002,9.995830873141780E-001,-1.147070555886202E-002,
1.482295420731354E+008,9.994506723058407E-001,-1.183551863136475E-002,9.994506723058407E-001,-1.183551863136475E-002,
1.513321957916272E+008,9.995182112734060E-001,-1.200785076044959E-002,9.995182112734060E-001,-1.200785076044959E-002,
1.544997924355456E+008,9.994717769734195E-001,-1.231918542228691E-002,9.994717769734195E-001,-1.231918542228691E-002,
1.577336913520643E+008,9.994653919197173E-001,-1.261337054269604E-002,9.994653919197173E-001,-1.261337054269604E-002,
1.610352803414134E+008,9.993460398533657E-001,-1.284919992313897E-002,9.993460398533657E-001,-1.284919992313897E-002,
1.644059762524427E+008,9.994698407880935E-001,-1.317137572868096E-002,9.994698407880935E-001,-1.317137572868096E-002,
1.678472255906498E+008,9.993565105100739E-001,-1.356374248327782E-002,9.993565105100739E-001,-1.356374248327782E-002,
1.713605051389360E+008,9.991728645773732E-001,-1.381951153604365E-002,9.991728645773732E-001,-1.381951153604365E-002,
1.749473225913547E+008,9.991912462710973E-001,-1.403349462560490E-002,9.991912462710973E-001,-1.403349462560490E-002,
1.786092172001261E+008,9.991909302331673E-001,-1.435968993659114E-002,9.991909302331673E-001,-1.435968993659114E-002,
1.823477604361935E+008,9.991705467934310E-001,-1.482254642374360E-002,9.991705467934310E-001,-1.482254642374360E-002,
1.861645566636073E+008,9.991481055065696E-001,-1.501712449204564E-002,9.991481055065696E-001,-1.501712449204564E-002,
1.900612438280239E+008,9.990664692237411E-001,-1.550681254885180E-002,9.990664692237411E-001,-1.550681254885180E-002,
1.940394941596160E+008,9.990535688026063E-001,-1.579935683496381E-002,9.990535688026063E-001,-1.579935683496381E-002,
