% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S11,im:Trc2_S11,
1.000000000000000E+008,-9.822183637923730E-001,8.918056007479887E-003,-9.822183637923730E-001,8.918056007479887E-003,
1.020931412693436E+008,-9.821233465292703E-001,8.807495163615038E-003,-9.821233465292703E-001,8.807495163615038E-003,
1.042300949424215E+008,-9.818749065927882E-001,8.884907339527143E-003,-9.818749065927882E-001,8.884907339527143E-003,
1.064117780747374E+008,-9.818810164550951E-001,8.663264545393226E-003,-9.818810164550951E-001,8.663264545393226E-003,
1.086391269170620E+008,-9.818346215958838E-001,9.142267830134667E-003,-9.818346215958838E-001,9.142267830134667E-003,
1.109130973172177E+008,-9.816495087446773E-001,9.119611744213598E-003,-9.816495087446773E-001,9.119611744213598E-003,
1.132346651302716E+008,-9.815053118290955E-001,9.071017259041541E-003,-9.815053118290955E-001,9.071017259041541E-003,
1.156048266373163E+008,-9.815884044673118E-001,9.113310056071139E-003,-9.815884044673118E-001,9.113310056071139E-003,
1.180245989730151E+008,-9.812787508339980E-001,9.237875579730062E-003,-9.812787508339980E-001,9.237875579730062E-003,
1.204950205620966E+008,-9.812090420827047E-001,9.042835781530832E-003,-9.812090420827047E-001,9.042835781530832E-003,
1.230171515649859E+008,-9.809270986833918E-001,9.332537573193300E-003,-9.809270986833918E-001,9.332537573193300E-003,
1.255920743327636E+008,-9.808405553378246E-001,9.214889593680798E-003,-9.808405553378246E-001,9.214889593680798E-003,
1.282208938716474E+008,-9.807721240546807E-001,9.376890202831853E-003,-9.807721240546807E-001,9.376890202831853E-003,
1.309047383171961E+008,-9.807457572502850E-001,9.297983409902021E-003,-9.807457572502850E-001,9.297983409902021E-003,
1.336447594184396E+008,-9.804513715369305E-001,9.432900834613015E-003,-9.804513715369305E-001,9.432900834613015E-003,
1.364421330321420E+008,-9.804265918067765E-001,9.502081828339955E-003,-9.804265918067765E-001,9.502081828339955E-003,
1.392980596274105E+008,-9.802915972514619E-001,9.410288542223807E-003,-9.802915972514619E-001,9.410288542223807E-003,
1.422137648008667E+008,-9.801693981045742E-001,9.670002435493102E-003,-9.801693981045742E-001,9.670002435493102E-003,
1.451904998026009E+008,-9.799959321283640E-001,9.613607940578939E-003,-9.799959321283640E-001,9.613607940578939E-003,
1.482295420731354E+008,-9.799045464923357E-001,9.774440171228992E-003,-9.799045464923357E-001,9.774440171228992E-003,
1.513321957916272E+008,-9.797938912667963E-001,9.748154252031183E-003,-9.797938912667963E-001,9.748154252031183E-003,
1.544997924355456E+008,-9.795626314805010E-001,9.751872083437082E-003,-9.795626314805010E-001,9.751872083437082E-003,
