% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S11,im:Trc2_S11,
1.000000000000000E+008,2.247901566103322E-001,-1.050565386896690E-002,2.247901566103322E-001,-1.050565386896690E-002,
1.020931412693436E+008,2.246054526679374E-001,-1.053689430950541E-002,2.246054526679374E-001,-1.053689430950541E-002,
1.042300949424215E+008,2.244927773418344E-001,-1.053121342847426E-002,2.244927773418344E-001,-1.053121342847426E-002,
1.064117780747374E+008,2.244545016155545E-001,-1.069117996369748E-002,2.244545016155545E-001,-1.069117996369748E-002,
1.086391269170620E+008,2.243495633087845E-001,-1.069812477586153E-002,2.243495633087845E-001,-1.069812477586153E-002,
1.109130973172177E+008,2.242963962936955E-001,-1.078419150482533E-002,2.242963962936955E-001,-1.078419150482533E-002,
1.132346651302716E+008,2.242314151248726E-001,-1.076201002318003E-002,2.242314151248726E-001,-1.076201002318003E-002,
1.156048266373163E+008,2.241486673586229E-001,-1.095704667747612E-002,2.241486673586229E-001,-1.095704667747612E-002,
1.180245989730151E+008,2.240812162428392E-001,-1.097025948974234E-002,2.240812162428392E-001,-1.097025948974234E-002,
1.204950205620966E+008,2.240744104529734E-001,-1.110899077333382E-002,2.240744104529734E-001,-1.110899077333382E-002,
1.230171515649859E+008,2.240148915788163E-001,-1.106609970827857E-002,2.240148915788163E-001,-1.106609970827857E-002,
1.255920743327636E+008,2.240227977983020E-001,-1.124120919823666E-002,2.240227977983020E-001,-1.124120919823666E-002,
1.282208938716474E+008,2.239007099171412E-001,-1.119723631896484E-002,2.239007099171412E-001,-1.119723631896484E-002,
1.309047383171961E+008,2.239240647349232E-001,-1.141121381938206E-002,2.239240647349232E-001,-1.141121381938206E-002,
1.336447594184396E+008,2.238732615474993E-001,-1.149382895563119E-002,2.238732615474993E-001,-1.149382895563119E-002,
1.364421330321420E+008,2.239119346040369E-001,-1.158986278435854E-002,2.239119346040369E-001,-1.158986278435854E-002,
1.392980596274105E+008,2.236507561321781E-001,-1.163204951535335E-002,2.236507561321781E-001,-1.163204951535335E-002,
1.422137648008667E+008,2.236177524201609E-001,-1.170405896145894E-002,2.236177524201609E-001,-1.170405896145894E-002,
1.451904998026009E+008,2.235803184204026E-001,-1.188103327205163E-002,2.235803184204026E-001,-1.188103327205163E-002,
1.482295420731354E+008,2.235902355871360E-001,-1.194486197079480E-002,2.235902355871360E-001,-1.194486197079480E-002,
1.513321957916272E+008,2.235381242371647E-001,-1.198796422089606E-002,2.235381242371647E-001,-1.198796422089606E-002,
1.544997924355456E+008,2.235461171466810E-001,-1.223538143005428E-002,2.235461171466810E-001,-1.223538143005428E-002,
1.577336913520643E+008,2.235049301312747E-001,-1.232460821001573E-002,2.235049301312747E-001,-1.232460821001573E-002,
1.610352803414134E+008,2.234680079798695E-001,-1.239759048852469E-002,2.234680079798695E-001,-1.239759048852469E-002,
1.644059762524427E+008,2.234189641360025E-001,-1.250586428132369E-002,2.234189641360025E-001,-1.250586428132369E-002,
1.678472255906498E+008,2.234285811602165E-001,-1.264674181527083E-002,2.234285811602165E-001,-1.264674181527083E-002,
1.713605051389360E+008,2.233791795676918E-001,-1.270724214940042E-002,2.233791795676918E-001,-1.270724214940042E-002,
1.749473225913547E+008,2.233300183691100E-001,-1.285775236243526E-002,2.233300183691100E-001,-1.285775236243526E-002,
1.786092172001261E+008,2.232448852027579E-001,-1.295762584782334E-002,2.232448852027579E-001,-1.295762584782334E-002,
1.823477604361935E+008,2.232683286527374E-001,-1.299497226207789E-002,2.232683286527374E-001,-1.299497226207789E-002,
1.861645566636073E+008,2.231925264358069E-001,-1.322895776385715E-002,2.231925264358069E-001,-1.322895776385715E-002,
1.900612438280239E+008,2.231163010863826E-001,-1.336783128587780E-002,2.231163010863826E-001,-1.336783128587780E-002,
1.940394941596160E+008,2.230763502026891E-001,-1.347525200033486E-002,2.230763502026891E-001,-1.347525200033486E-002,
1.981010148906965E+008,2.229789189912600E-001,-1.363355195102544E-002,2.229789189912600E-001,-1.363355195102544E-002,
2.022475489883622E+008,2.229077704688014E-001,-1.379506747155671E-002,2.229077704688014E-001,-1.379506747155671E-002,
2.064808759024735E+008,2.228631669420135E-001,-1.393176167453782E-002,2.228631669420135E-001,-1.393176167453782E-002,
2.108028123292904E+008,2.228343816115833E-001,-1.407552334023132E-002,2.228343816115833E-001,-1.407552334023132E-002,
2.152152129910917E+008,2.227222202001166E-001,-1.428366946561083E-002,2.227222202001166E-001,-1.428366946561083E-002,
2.197199714321140E+008,2.226718430175689E-001,-1.450544582436095E-002,2.226718430175689E-001,-1.450544582436095E-002,
2.243190208311496E+008,2.226389597902704E-001,-1.469163554489288E-002,2.226389597902704E-001,-1.469163554489288E-002,
2.290143348311539E+008,2.225794522963639E-001,-1.491621877671665E-002,2.225794522963639E-001,-1.491621877671665E-002,
2.338079283862175E+008,2.225225545792016E-001,-1.510276456976638E-002,2.225225545792016E-001,-1.510276456976638E-002,
2.387018586262668E+008,2.224510263968295E-001,-1.536243815878537E-002,2.224510263968295E-001,-1.536243815878537E-002,
2.436982257398635E+008,2.224101575668047E-001,-1.558215884804068E-002,2.224101575668047E-001,-1.558215884804068E-002,
2.487991738754827E+008,2.223263286363111E-001,-1.584011988396643E-002,2.223263286363111E-001,-1.584011988396643E-002,
2.540068920616564E+008,2.222491390885130E-001,-1.608036945392041E-002,2.222491390885130E-001,-1.608036945392041E-002,
2.593236151463760E+008,2.222286054415246E-001,-1.625104041151309E-002,2.222286054415246E-001,-1.625104041151309E-002,
2.647516247561587E+008,2.221738143500157E-001,-1.667270164279238E-002,2.221738143500157E-001,-1.667270164279238E-002,
2.702932502751876E+008,2.221227765971570E-001,-1.686392550264398E-002,2.221227765971570E-001,-1.686392550264398E-002,
2.759508698449477E+008,2.220738016867038E-001,-1.725889845727433E-002,2.220738016867038E-001,-1.725889845727433E-002,
2.817269113847850E+008,2.220397007579229E-001,-1.746198581024204E-002,2.220397007579229E-001,-1.746198581024204E-002,
2.876238536338270E+008,2.220117690545650E-001,-1.775566027124647E-002,2.220117690545650E-001,-1.775566027124647E-002,
2.936442272147132E+008,2.220006385597875E-001,-1.816709577836509E-002,2.220006385597875E-001,-1.816709577836509E-002,
2.997906157195895E+008,2.220188591981655E-001,-1.848023560977999E-002,2.220188591981655E-001,-1.848023560977999E-002,
3.060656568188355E+008,2.220178981679732E-001,-1.878781267796923E-002,2.220178981679732E-001,-1.878781267796923E-002,
3.124720433929982E+008,2.220391036599834E-001,-1.908599320453229E-002,2.220391036599834E-001,-1.908599320453229E-002,
3.190125246884183E+008,2.220638044994515E-001,-1.927406074794024E-002,2.220638044994515E-001,-1.927406074794024E-002,
3.256899074970465E+008,2.220629577339530E-001,-1.955835016857739E-002,2.220629577339530E-001,-1.955835016857739E-002,
3.325070573609542E+008,2.220218755746787E-001,-1.996672402018324E-002,2.220218755746787E-001,-1.996672402018324E-002,
3.394668998020564E+008,2.220202869868821E-001,-2.027103731671912E-002,2.220202869868821E-001,-2.027103731671912E-002,
3.465724215775746E+008,2.219880174279602E-001,-2.056523698913309E-002,2.219880174279602E-001,-2.056523698913309E-002,
3.538266719617783E+008,2.219557460271319E-001,-2.090400320894508E-002,2.219557460271319E-001,-2.090400320894508E-002,
3.612327640545553E+008,2.219093050682159E-001,-2.121493945071497E-002,2.219093050682159E-001,-2.121493945071497E-002,
3.687938761173719E+008,2.218080732674830E-001,-2.153428805104303E-002,2.218080732674830E-001,-2.153428805104303E-002,
3.765132529371966E+008,2.217712700694252E-001,-2.186069217003657E-002,2.217712700694252E-001,-2.186069217003657E-002,
3.843942072189731E+008,2.217121992295111E-001,-2.220924365101489E-002,2.217121992295111E-001,-2.220924365101489E-002,
3.924401210072396E+008,2.216240191488842E-001,-2.243785627099983E-002,2.216240191488842E-001,-2.243785627099983E-002,
4.006544471375042E+008,2.215045146752001E-001,-2.295815213276344E-002,2.215045146752001E-001,-2.295815213276344E-002,
4.090407107179998E+008,2.214108249579072E-001,-2.337900133781284E-002,2.214108249579072E-001,-2.337900133781284E-002,
4.176025106424546E+008,2.213235360187061E-001,-2.369818024685767E-002,2.213235360187061E-001,-2.369818024685767E-002,
4.263435211345269E+008,2.212140031512128E-001,-2.419251475464056E-002,2.212140031512128E-001,-2.419251475464056E-002,
4.352674933245664E+008,2.211189102607283E-001,-2.483814277380894E-002,2.211189102607283E-001,-2.483814277380894E-002,
4.443782568593804E+008,2.210262298438293E-001,-2.533693183033454E-002,2.210262298438293E-001,-2.533693183033454E-002,
4.536797215456938E+008,2.209797129151218E-001,-2.582401761844988E-002,2.209797129151218E-001,-2.582401761844988E-002,
4.631758790280099E+008,2.209694450002663E-001,-2.637350573793713E-002,2.209694450002663E-001,-2.637350573793713E-002,
4.728708045015902E+008,2.209447766211845E-001,-2.691426580941265E-002,2.209447766211845E-001,-2.691426580941265E-002,
4.827686584612901E+008,2.209452602322025E-001,-2.744601085604168E-002,2.209452602322025E-001,-2.744601085604168E-002,
4.928736884869999E+008,2.209673257996530E-001,-2.796704517935462E-002,2.209673257996530E-001,-2.796704517935462E-002,
5.031902310664573E+008,2.209989848156318E-001,-2.850249497830477E-002,2.209989848156318E-001,-2.850249497830477E-002,
5.137227134562149E+008,2.209847027013342E-001,-2.902484073564544E-002,2.209847027013342E-001,-2.902484073564544E-002,
5.244756555815587E+008,2.209479058665640E-001,-2.953703544411700E-002,2.209479058665640E-001,-2.953703544411700E-002,
5.354536719761968E+008,2.209401074552622E-001,-3.003406414507172E-002,2.209401074552622E-001,-3.003406414507172E-002,
5.466614737625463E+008,2.208774795093793E-001,-3.054282609976055E-002,2.208774795093793E-001,-3.054282609976055E-002,
5.581038706734722E+008,2.207673226496059E-001,-3.105724990862340E-002,2.207673226496059E-001,-3.105724990862340E-002,
5.697857731163427E+008,2.206634008663336E-001,-3.158539340280958E-002,2.206634008663336E-001,-3.158539340280958E-002,
5.817121942802894E+008,2.205352787719132E-001,-3.218142830896577E-002,2.205352787719132E-001,-3.218142830896577E-002,
5.938882522875744E+008,2.203487884648256E-001,-3.272574956021222E-002,2.203487884648256E-001,-3.272574956021222E-002,
6.063191723899891E+008,2.201456844644055E-001,-3.348508704580826E-002,2.201456844644055E-001,-3.348508704580826E-002,
6.190102892112266E+008,2.199981608368150E-001,-3.417626207288814E-002,2.199981608368150E-001,-3.417626207288814E-002,
6.319670490361900E+008,2.198917184477073E-001,-3.490230973505198E-002,2.198917184477073E-001,-3.490230973505198E-002,
6.451950121482195E+008,2.198225731950626E-001,-3.568187417854497E-002,2.198225731950626E-001,-3.568187417854497E-002,
6.586998552152404E+008,2.197908788926775E-001,-3.648533312558037E-002,2.197908788926775E-001,-3.648533312558037E-002,
6.724873737258571E+008,2.197275920615546E-001,-3.721053609138369E-002,2.197275920615546E-001,-3.721053609138369E-002,
6.865634844764381E+008,2.196661992205815E-001,-3.790766058173870E-002,2.196661992205815E-001,-3.790766058173870E-002,
7.009342281102579E+008,2.196306956029560E-001,-3.862504616053665E-002,2.196306956029560E-001,-3.862504616053665E-002,
7.156057717097888E+008,2.195527870142745E-001,-3.930719956883621E-002,2.195527870142745E-001,-3.930719956883621E-002,
