# Measured conductivity of HCl in H2O measured on 20171017
# Conc	kappa	dkappa
0.1000	3.8310	0.0027
0.1000	3.8742	0.0028
0.2000	7.4701	0.0039
0.2000	7.5230	0.0036
0.3000	11.0231	0.0043
0.3000	11.0869	0.0038
0.4000	14.4344	0.0044
0.4000	14.4878	0.0042
0.5000	17.7491	0.0050
0.5000	17.8070	0.0047
0.6000	21.0259	0.0057
0.6000	21.0872	0.0053
0.7000	24.1378	0.0630
0.7000	24.1666	0.0061
0.8000	27.1652	0.0965
0.8000	27.2237	0.0606
0.9000	30.1167	0.1117
0.9000	30.1191	0.1159
1.0000	32.9308	0.1168
1.0000	32.9673	0.1318
