# Measured depolarization of HCl in H2O measured on 20171017
# Conc	Depo	dDepo
0.1000	2.8182	0.0267
0.1000	2.4154	0.0313
0.2000	5.3585	0.0409
0.2000	5.0597	0.0413
0.3000	7.7778	0.0476
0.3000	7.6557	0.0460
0.4000	10.1036	0.0487
0.4000	10.1238	0.0493
0.5000	12.4191	0.0518
0.5000	12.4656	0.0518
0.6000	14.6428	0.0556
0.6000	14.7226	0.0553
0.7000	16.5647	0.5663
0.7000	16.7648	0.0597
0.8000	18.3768	0.7806
0.8000	18.5959	0.5847
0.9000	20.0948	0.9531
0.9000	20.1528	1.0196
1.0000	21.7819	0.9842
1.0000	21.7640	1.1782
