# Cole-Cole parameters of HCl in H2O measured on 20171017
# Conc	Rho	Sn	S	tau	alpha	kappa
0.10000	998.90000	73.07433	70.25609	8.67213	0.00294	3.83097
0.10000	998.90000	73.07433	70.65894	8.67288	0.00398	3.87425
0.20000	1000.70000	72.94024	67.58172	8.62860	0.00524	7.47006
0.20000	1000.70000	72.94024	67.88057	8.63269	0.00568	7.52302
0.30000	1002.50000	72.80711	65.02931	8.58934	0.00609	11.02306
0.30000	1002.50000	72.80711	65.15138	8.58155	0.00626	11.08692
0.40000	1004.40000	72.68218	62.57856	8.54469	0.00609	14.43439
0.40000	1004.40000	72.68218	62.55837	8.52940	0.00664	14.48782
0.50000	1006.20000	72.55094	60.13188	8.49792	0.00677	17.74911
0.50000	1006.20000	72.55094	60.08531	8.47777	0.00717	17.80695
0.60000	1008.10000	72.42782	57.78497	8.45628	0.00788	21.02592
0.60000	1008.10000	72.42782	57.70519	8.43296	0.00827	21.08715
0.70000	1009.80000	72.29126	55.72656	8.33804	0.01479	24.13778
0.70000	1009.80000	72.29126	55.52649	8.40257	0.01002	24.16660
0.80000	1011.60000	72.16280	53.78605	8.20537	0.02251	27.16522
0.80000	1011.60000	72.16280	53.56688	8.28108	0.01739	27.22366
0.90000	1013.40000	72.03526	51.94048	8.05896	0.03096	30.11668
0.90000	1013.40000	72.03526	51.88250	8.03766	0.03108	30.11913
1.00000	1015.20000	71.90861	50.12675	8.03952	0.03524	32.93075
1.00000	1015.20000	71.90861	50.14466	7.87601	0.03994	32.96730
